================ FINAL RESULTS ================
Final Accuracy       : 0.9350
Final Precision      : 0.9727
Final Recall         : 0.8706
Final F1-score       : 0.9188
Final AUC-ROC        : 0.9784
Final Train Loss     : 0.1413
Final Validation Loss: 0.1425
Training Time        : 355.6017 s
Total Training Time  : 10615.9797 s
Avg Train Time/Round : 353.8660 s
Inference Time       : 6.4252 s
Final Communication  : 1.66 MB
Model Size           : 113.13 KB
Dynamic QModel Size  : 119.61 KB
Dynamic Q Parameters : 26784
Total Runtime        : 11038.01 s
================================================

========== FINAL AGGREGATED CONFUSION MATRIX ==========
TN: 151632    FP: 1972
FN: 16171    TP: 109505
=======================================================

Round-wise Results (copy into thesis table):
Round   Accuracy        Precision       Recall  F1      AUC
1       0.8981  0.9949  0.7751  0.8714  0.9557
2       0.9197  0.9852  0.8287  0.9002  0.9702
3       0.9243  0.9781  0.8432  0.9056  0.9717
4       0.9263  0.9708  0.8523  0.9076  0.9724
5       0.9270  0.9748  0.8516  0.9090  0.9730
6       0.9267  0.9776  0.8494  0.9089  0.9731
7       0.9280  0.9699  0.8567  0.9097  0.9735
8       0.9282  0.9742  0.8549  0.9106  0.9739
9       0.9293  0.9646  0.8629  0.9108  0.9741
10      0.9287  0.9754  0.8552  0.9113  0.9745
11      0.9298  0.9714  0.8597  0.9121  0.9747
12      0.9304  0.9683  0.8631  0.9126  0.9751
13      0.9284  0.9646  0.8606  0.9095  0.9727
14      0.9295  0.9652  0.8628  0.9110  0.9741
15      0.9294  0.9644  0.8630  0.9107  0.9737
16      0.9286  0.9716  0.8568  0.9105  0.9736
17      0.9294  0.9700  0.8597  0.9114  0.9752
18      0.9312  0.9711  0.8631  0.9138  0.9761
19      0.9243  0.9483  0.8617  0.9026  0.9684
20      0.9304  0.9685  0.8631  0.9127  0.9752
21      0.9293  0.9720  0.8584  0.9116  0.9737
22      0.9270  0.9626  0.8591  0.9078  0.9744
23      0.9298  0.9697  0.8606  0.9118  0.9741
24      0.9282  0.9591  0.8639  0.9088  0.9749
25      0.9087  0.9023  0.8579  0.8785  0.9637
26      0.9344  0.9599  0.8773  0.9165  0.9781
27      0.9349  0.9738  0.8702  0.9190  0.9781
28      0.9352  0.9702  0.8727  0.9188  0.9782
29      0.8437  0.7517  0.8601  0.7944  0.9508
30      0.9350  0.9727  0.8706  0.9188  0.9784
